store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Fort Worth (Hulen),280,4620 S. Hulen St.,,Fort Worth,TX,76132,US,,32.68031,-97.39506,,,
Fort Worth,260,2900 W. 7th St.,,Fort Worth,TX,76107,US,,32.7514,-97.35867,,,
Fort Worth,301,2501 N. Tarrant Pkwy.,,Fort Worth,TX,76177,US,,32.899,-97.3223,,,
Hurst,273,780 Airport Fwy.,,Hurst,TX,76054,US,,32.8404,-97.18486,,,
Windcrest,302,8202 I-35 North,,Windcrest,TX,78239,US,,29.51138,-98.39647,,,
San Antonio,298,10918 Culebra Rd.,,San Antonio,TX,78253,US,,29.49497,-98.7085,,,
San Antonio,323,22226 N. US Hwy 281,,San Antonio,TX,78258,US,,29.64852,-98.44978,,,
San Marcos,314,1437 North IH-35,,San Marcos,TX,78666,US,,29.89218,-97.91448,,,
Austin,306,3701 S. Lamar Blvd.,,Austin,TX,78704,US,,30.23866,-97.78861,,,
Austin,319,2700 Guadalupe St,,Austin,TX,78705,US,,30.29219,-97.74169,,,
Austin,290,4515 Airport Blvd.,,Austin,TX,78751,US,,30.30434,-97.71564,,,
Pflugerville,316,1600 Town Center Dr.,,Pflugerville,TX,78660,US,,30.46439,-97.59744,,,
Austin,315,12431 N. I-35,,Austin,TX,78753,US,,30.40499,-97.67414,,,
Arlington,262,1075 W. I-20,,Arlington,TX,76017,US,,32.6782,-97.12294,,,
Killeen,296,2006 E. Central Texas Expy.,,Killeen,TX,76541,US,,31.09033,-97.72142,,,
Cedar Park,294,901 E. Whitestone Blvd.,,Cedar Park,TX,78613,US,,30.52461,-97.82056,,,
Round Rock,289,4251 I-35 North,,Round Rock,TX,78664,US,,30.56186,-97.69112,,,
Grapevine,283,1303 William D. Tate Ave.,,Grapevine,TX,76051,US,,32.92662,-97.08656,,,
