store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Lime Ridge Mall,185,999 Upper Wentworth St.,Unit #F-3,Hamilton,ON,L9A 4X5,Canada,,43.2173505,-79.8619199,,,0
Mapleview Mall,190,900 Maple Ave.,Unit #F9- P.O. Box 77,Burlington,ON,L7S 2J8,Canada,,43.3257264,-79.820545,,,0
Ft. Bragg South Post Food Court,105,1017 Canopy Lane,Bldg. 23252,Ft. Bragg,NC,28390,U.S.A.,,35.1032533,-79.0144089,,,0
Ft. Bragg,102,Bldg 4 Mini Mall Food Court,,Ft. Bragg,NC,28307,U.S.A.,,35.139167,-78.999167,,,0
Gateway Niagara,153,424 South Service Road,Unit #R3,Grimsby,ON,L3M 5A5,Canada,,43.2062213,-79.5981268,,,0
Oakville Place,173,240 Leighland Ave.,Unit #FC4,Oakville,ON,L6H 3H6,Canada,,43.4623677,-79.687044,,,0
Square One Shopping Centre,136,100 City Centre Drive,Unit #1-135,Mississauga,ON,L5B 2C9,Canada,,43.593106,-79.6422471,,,0
Dixie Outlet Mall,200,1250 South Service Road,Unit #70,Mississauga,ON,L5E 1V4,Canada,,43.5931066,-79.5681913,,,0
N.Y. Sheridan Mall,134,1700 Wilson Ave.,Mail Box # 85,North York,ON,M3L 1B2,Canada,,43.7210065,-79.5123905,,,0
Dufferin Mall,133,900 Dufferin Street,Unit #25,Toronto,ON,M6H 4B1,Canada,,43.6568994,-79.4355343,,,0
Canada&#039;s Wonderland,163,9580 Jane Street,P.O. Box 624,Vaughan,ON,L6A 1S6,Canada,,43.8412306,-79.5390275,,,0
Promenade Mall,201,1 Promenade Circle,Unit #F-110,Thornhill,Ontario   ,L4K 4P8,Canada,,43.8158012,-79.5229319,,,0
Yorkdale Shopping Centre,188,3401 Dufferin Street,Unit FC-10,North York,ON,M6A 2T9,Canada,,43.7251083,-79.4528087,,,0
Metrocentre,147,200 Wellington St. W.,Unit 330,Toronto,ON,M5V 3C7,Canada,,43.6458589,-79.3878302,,,0
Simcoe Place,167,200 Front Street West,Unit F004,Toronto,ON,M5V 3K2,Canada,,43.6448944,-79.3861668,,,0
700 University Shopping Centre,164,700 University Avenue,Unit 3,Toronto,ON,M5G 1X6,Canada,,43.6590858,-79.3914771,,,0
Brookfield Place,145,161 Bay St.,C-220,Toronto,ON,M5J 2S1,Canada,,43.6464758,-79.3790009,,,0
Hudson&#039;s Bay Centre,129,20 Bloor Street East,Unit #F9,Toronto,ON,M4W 3G7,Canada,,43.6700726,-79.3877455,,,0
Cumberland Terrace,131,2 Bloor Street West,Space #F05,Toronto,ON,M4W 3E2,Canada,,43.6704727,-79.3872632,,,0
Yonge - Eglinton Centre,152,2300 Yonge Street,Unit #S106- PO Box #2440,Toronto,ON,M4P 1E4,Canada,,43.7071543,-79.3987777,,,0
North York City Centre,170,5150 Yonge Street,Unit F2,Toronto,ON,M2N 6L8,Canada,,43.7686976,-79.4131633,,,0
Hillcrest Mall,189,9350 Yonge Street,Unit #B4,Richmond Hill,ON,L4C 5G2,Canada,,43.8550167,-79.4363201,,,0
Fairview Mall,132,1800 Sheppard Ave. East,Unit #230- P.O. Box 6,Willowdale,ON,M2J 5A7,Canada,,43.7725887,-79.3586507,,,0
