store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Turkey Hill,00095,390 N Houcks Rd,,Harrisburg,PA,17109,United States,7176573489,40.3056144,-76.8124465,fridayOpen:07:00;thursdayClose:07:00;recordId:67000095;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00090,5009 Locust Ln,,Harrisburg,PA,17109,United States,7176527601,40.2931365,-76.8037948,fridayOpen:07:00;thursdayClose:07:00;recordId:67000090;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00279,2885 Paxton St,,Harrisburg,PA,17111,United States,7175611562,40.2558776,-76.8396697,fridayOpen:07:00;thursdayClose:07:00;recordId:67000279;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00227,4850 Union Deposit Rd,,Harrisburg,PA,17111,United States,7175418790,40.281681,-76.7991333,fridayOpen:07:00;thursdayClose:07:00;recordId:67000227;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00186,50 N Front St,,Steelton,PA,17113,United States,7179394835,40.234901,-76.841141,fridayOpen:07:00;thursdayClose:07:00;recordId:67000186;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00296,7601 Allentown Blvd,,Harrisburg,PA,17112,United States,7175262106,40.334921,-76.730261,fridayOpen:07:00;thursdayClose:07:00;recordId:67000296;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00094,12 S Harrisburg St,,Oberlin,PA,17113,United States,7179396382,40.238457,-76.815224,fridayOpen:06:00;thursdayClose:00:00;recordId:67000094;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
Turkey Hill,00234,6300 Derry St,,Harrisburg,PA,17111,United States,7175611094,40.2643699,-76.7778854,fridayOpen:07:00;thursdayClose:07:00;recordId:67000234;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
Turkey Hill,00129,862 Chestnut St,,Kulpmont,PA,17834,United States,5703733102,40.7938496,-76.4717598,fridayOpen:06:00;thursdayClose:00:00;recordId:67000129;wednesdayOpen:06:00;thursdayOpen:06:00;tuesdayOpen:06:00;wednesdayClose:00:00;saturdayOpen:06:00;mondayOpen:06:00;tuesdayClose:00:00;fridayClose:00:00;mondayClose:00:00;saturdayClose:00:00;sundayClose:00:00;sundayOpen:06:00;,,
Turkey Hill,00282,240 Hershey Rd,,Hummelstown,PA,17036,United States,7175667327,40.3103942,-76.6980048,fridayOpen:07:00;thursdayClose:07:00;recordId:67000282;wednesdayOpen:07:00;thursdayOpen:07:00;tuesdayOpen:07:00;wednesdayClose:07:00;saturdayOpen:07:00;mondayOpen:07:00;tuesdayClose:07:00;fridayClose:07:00;mondayClose:07:00;saturdayClose:07:00;sundayClose:07:00;sundayOpen:07:00;,,
